Symbol,Security,GICS Sector,GICS Sub-Industry
A,Agilent Technologies,Health Care,Health Care Equipment
AAL,American Airlines Group,Industrials,Airlines
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail
AAPL,Apple,Information Technology,Technology Hardware  Storage & Peripherals
ABBV,AbbVie,Health Care,Pharmaceuticals
ABC,AmerisourceBergen,Health Care,Health Care Distributors
ABMD,Abiomed,Health Care,Health Care Equipment
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe,Information Technology,Application Software
ADI,Analog Devices,Information Technology,Semiconductors
ADM,ADM,Consumer Staples,Agricultural Products
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services
ADSK,Autodesk,Information Technology,Application Software
AEE,Ameren Corp,Utilities,Multi-Utilities
AEP,American Electric Power,Utilities,Electric Utilities
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
AIG,American International Group,Financials,Property & Casualty Insurance
AIZ,Assurant,Financials,Multi-line Insurance
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,Align Technology,Health Care,Health Care Supplies
ALK,Alaska Air Group,Industrials,Airlines
ALL,Allstate Corp,Financials,Property & Casualty Insurance
ALLE,Allegion,Industrials,Building Products
AMAT,Applied Materials,Information Technology,Semiconductor Equipment
AMCR,Amcor,Materials,Paper Packaging
AMD,Advanced Micro Devices,Information Technology,Semiconductors
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,American Tower,Real Estate,Specialized REITs
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail
ANET,Arista Networks,Information Technology,Communications Equipment
ANSS,Ansys,Information Technology,Application Software
ANTM,Anthem,Health Care,Managed Health Care
AON,Aon,Financials,Insurance Brokers
AOS,A. O. Smith,Industrials,Building Products
APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,Air Products & Chemicals,Materials,Industrial Gases
APH,Amphenol Corp,Information Technology,Electronic Components
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ATO,Atmos Energy,Utilities,Gas Utilities
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
AVB,AvalonBay Communities,Real Estate,Residential REITs
AVGO,Broadcom,Information Technology,Semiconductors
AVY,Avery Dennison,Materials,Paper Packaging
AWK,American Water Works,Utilities,Water Utilities
AXP,American Express,Financials,Consumer Finance
AZO,AutoZone,Consumer Discretionary,Specialty Stores
BA,Boeing Company,Industrials,Aerospace & Defense
BAC,Bank of America,Financials,Diversified Banks
BAX,Baxter International,Health Care,Health Care Equipment
BBWI,Bath & Body Works  Inc.,Consumer Discretionary,Specialty Stores
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BDX,Becton Dickinson,Health Care,Health Care Equipment
BEN,Franklin Resources,Financials,Asset Management & Custody Banks
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners
BIIB,Biogen,Health Care,Biotechnology
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services
BK,BNY Mellon,Financials,Asset Management & Custody Banks
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLK,BlackRock,Financials,Asset Management & Custody Banks
BLL,Ball Corp,Materials,Metal & Glass Containers
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
BRK,Berkshire Hathaway (Class A),Financials,Multi-Sector Holdings
BRK-B,Berkshire Hathaway (Class B),Financials,Multi-Sector Holdings
BSX,Boston Scientific,Health Care,Health Care Equipment
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,Real Estate,Office REITs
C,Citigroup,Financials,Diversified Banks
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
CAH,Cardinal Health,Health Care,Health Care Distributors
CARR,Carrier Global,Industrials,Building Products
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks
CB,Chubb,Financials,Property & Casualty Insurance
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE,Real Estate,Real Estate Services
CCI,Crown Castle,Real Estate,Specialized REITs
CCL,Carnival Corporation,Consumer Discretionary,Hotels  Resorts & Cruise Lines
CDNS,Cadence Design Systems,Information Technology,Application Software
CDW,CDW,Information Technology,Technology Distributors
CE,Celanese,Materials,Specialty Chemicals
CERN,Cerner,Health Care,Health Care Technology
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CFG,Citizens Financial Group,Financials,Regional Banks
CHD,Church & Dwight,Consumer Staples,Household Products
CHRW,C. H. Robinson,Industrials,Air Freight & Logistics
CHTR,Charter Communications,Communication Services,Cable & Satellite
CI,Cigna,Health Care,Managed Health Care
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CL,Colgate-Palmolive,Consumer Staples,Household Products
CLX,Clorox,Consumer Staples,Household Products
CMA,Comerica,Financials,Diversified Banks
CMCSA,Comcast,Communication Services,Cable & Satellite
CME,CME Group,Financials,Financial Exchanges & Data
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CMI,Cummins,Industrials,Industrial Machinery
CMS,CMS Energy,Utilities,Multi-Utilities
CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CenterPoint Energy,Utilities,Multi-Utilities
COF,Capital One Financial,Financials,Consumer Finance
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production
COO,The Cooper Companies,Health Care,Health Care Supplies
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
COST,Costco,Consumer Staples,Hypermarkets & Super Centers
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats
CPRT,Copart,Industrials,Diversified Support Services
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CRM,Salesforce,Information Technology,Application Software
CSCO,Cisco Systems,Information Technology,Communications Equipment
CSX,CSX,Industrials,Railroads
CTAS,Cintas Corporation,Industrials,Diversified Support Services
CTLT,Catalent,Health Care,Pharmaceuticals
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CTXS,Citrix Systems,Information Technology,Application Software
CVS,CVS Health,Health Care,Health Care Services
CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
D,Dominion Energy,Utilities,Electric Utilities
DAL,Delta Air Lines,Industrials,Airlines
DD,DuPont,Materials,Specialty Chemicals
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery
DFS,Discover Financial Services,Financials,Consumer Finance
DG,Dollar General,Consumer Discretionary,General Merchandise Stores
DGX,Quest Diagnostics,Health Care,Health Care Services
DHI,D. R. Horton,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation,Health Care,Health Care Equipment
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment
DISCA,Discovery (Series A),Communication Services,Broadcasting
DISCK,Discovery (Series C),Communication Services,Broadcasting
DISH,Dish Network,Communication Services,Cable & Satellite
DLR,Digital Realty Trust,Real Estate,Specialized REITs
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores
DOV,Dover Corporation,Industrials,Industrial Machinery
DOW,Dow,Materials,Commodity Chemicals
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants
DRE,Duke Realty Corp,Real Estate,Industrial REITs
DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DTE,DTE Energy,Utilities,Multi-Utilities
DUK,Duke Energy,Utilities,Electric Utilities
DVA,DaVita,Health Care,Health Care Facilities
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXC,DXC Technology,Information Technology,IT Consulting & Other Services
DXCM,DexCom,Health Care,Health Care Equipment
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,Materials,Specialty Chemicals
ED,Consolidated Edison,Utilities,Electric Utilities
EFX,Equifax,Industrials,Research & Consulting Services
EIX,Edison International,Utilities,Electric Utilities
EL,Estée Lauder Companies,Consumer Staples,Personal Products
EMN,Eastman Chemical,Materials,Diversified Chemicals
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment
ENPH,Enphase Energy,Information Technology,Electronic Components
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EQIX,Equinix,Real Estate,Specialized REITs
EQR,Equity Residential,Real Estate,Residential REITs
ES,Eversource Energy,Utilities,Multi-Utilities
ESS,Essex Property Trust,Real Estate,Residential REITs
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
ETR,Entergy,Utilities,Electric Utilities
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail
EVRG,Evergy,Utilities,Electric Utilities
EW,Edwards Lifesciences,Health Care,Health Care Equipment
EXC,Exelon,Utilities,Multi-Utilities
EXPD,Expeditors,Industrials,Air Freight & Logistics
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail
EXR,Extra Space Storage,Real Estate,Specialized REITs
F,Ford,Consumer Discretionary,Automobile Manufacturers
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
FAST,Fastenal,Industrials,Building Products
FB,Facebook,Communication Services,Interactive Media & Services
FBHS,Fortune Brands Home & Security,Industrials,Building Products
FCX,Freeport-McMoRan,Materials,Copper
FDX,FedEx,Industrials,Air Freight & Logistics
FE,FirstEnergy,Utilities,Electric Utilities
FFIV,F5 Networks,Information Technology,Communications Equipment
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services
FITB,Fifth Third Bancorp,Financials,Regional Banks
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
FRC,First Republic Bank,Financials,Regional Banks
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FTNT,Fortinet,Information Technology,Systems Software
FTV,Fortive,Industrials,Industrial Machinery
GD,General Dynamics,Industrials,Aerospace & Defense
GE,General Electric,Industrials,Industrial Conglomerates
GILD,Gilead Sciences,Health Care,Biotechnology
GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GL,Globe Life,Financials,Life & Health Insurance
GLW,Corning,Information Technology,Electronic Components
GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services
GPS,Gap,Consumer Discretionary,Apparel Retail
GRMN,Garmin,Consumer Discretionary,Consumer Electronics
GS,Goldman Sachs,Financials,Investment Banking & Brokerage
GWW,W. W. Grainger,Industrials,Industrial Machinery
HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HAS,Hasbro,Consumer Discretionary,Leisure Products
HBAN,Huntington Bancshares,Financials,Regional Banks
HBI,Hanesbrands,Consumer Discretionary,Apparel  Accessories & Luxury Goods
HCA,HCA Healthcare,Health Care,Health Care Facilities
HD,Home Depot,Consumer Discretionary,Home Improvement Retail
